device_id,maintenance_date,maintenance_type,failure_date,failure_reason,time_period,traffic_volume,days_in_service,time_since_last_maintenance,average_usage,failure_count,maintenance_required
device_11,2024-07-23 11:18:40.429793,Software,2024-10-29 11:18:40.430098,Power Surge,2024-05-30 11:18:40.430467,9159,57,185,160.68421052631578,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-10-29 11:18:40.430098,Power Surge,2024-06-18 11:18:40.430511,641,204,185,3.142156862745098,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-10-29 11:18:40.430098,Power Surge,2024-08-12 11:18:40.430532,3195,55,185,58.09090909090909,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-10-29 11:18:40.430098,Power Surge,2024-03-14 11:18:40.430541,3300,247,185,13.360323886639677,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-10-29 11:18:40.430098,Power Surge,2024-11-10 11:18:40.430563,4901,165,185,29.703030303030303,5,1
device_11,2024-07-23 11:18:40.429793,Software,2024-03-26 11:18:40.430134,Network Issues,2024-05-30 11:18:40.430467,9159,57,185,160.68421052631578,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-03-26 11:18:40.430134,Network Issues,2024-06-18 11:18:40.430511,641,204,185,3.142156862745098,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-03-26 11:18:40.430134,Network Issues,2024-08-12 11:18:40.430532,3195,55,185,58.09090909090909,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-03-26 11:18:40.430134,Network Issues,2024-03-14 11:18:40.430541,3300,247,185,13.360323886639677,5,1
device_11,2024-07-23 11:18:40.429793,Software,2024-03-26 11:18:40.430134,Network Issues,2024-11-10 11:18:40.430563,4901,165,185,29.703030303030303,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-08-16 11:18:40.430142,Overheating,2024-05-30 11:18:40.430467,9159,57,185,160.68421052631578,5,1
device_11,2024-07-23 11:18:40.429793,Software,2024-08-16 11:18:40.430142,Overheating,2024-06-18 11:18:40.430511,641,204,185,3.142156862745098,5,1
device_11,2024-07-23 11:18:40.429793,Software,2024-08-16 11:18:40.430142,Overheating,2024-08-12 11:18:40.430532,3195,55,185,58.09090909090909,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-08-16 11:18:40.430142,Overheating,2024-03-14 11:18:40.430541,3300,247,185,13.360323886639677,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-08-16 11:18:40.430142,Overheating,2024-11-10 11:18:40.430563,4901,165,185,29.703030303030303,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-07-26 11:18:40.430167,Overheating,2024-05-30 11:18:40.430467,9159,57,185,160.68421052631578,5,0
device_11,2024-07-23 11:18:40.429793,Software,2024-07-26 11:18:40.430167,Overheating,2024-06-18 11:18:40.430511,641,204,185,3.142156862745098,5,1
device_11,2024-07-23 11:18:40.429793,Software,2024-07-26 11:18:40.430167,Overheating,2024-08-12 11:18:40.430532,3195,55,185,58.09090909090909,5,0
